count	volume	first_ref	form	gloss
16	BOM/D&C/PGP	BOM 1nephi 13:32	לְהִשָּׁאֵר	to remain
16	NT/D&C	NT john 13:20	וְהַמְקַבֵּל	and he that receives
14	BOM/NT/D&C	BOM alma 34:39	מַזְהִיר	beseech
13	OT/NT	OT 2sa 18:26	גַּם־זֶה	also this
10	BOM	BOM 1nephi 6:3	לְהִכָּתֵב	be written
10	NT	NT 1co 3:21	שֶׁלָּכֶם	that-you
9	BOM/NT/D&C/PGP	BOM 2nephi 5:9	לְהִקָּרֵא	to be called
9	NT	NT 1co 1:2	שֶׁלָּהֶם	their
8	BOM	BOM jacob 5:7	אֶת־הָעֲנָפִים	the branches
7	BOM/NT	BOM 1nephi 15:13	הָעֲנָפִים	the branches
7	BOM	BOM 3nephi 2:19	לִפֹּל	to fall
7	BOM	BOM 3nephi 6:15	לְהָסִית	to stir up
7	D&C	D&C dc121_130 1:23	וְיַכְרִיזוּ	and declare
6	BOM	BOM 3nephi 1:27	לְהִתְגַּבֵּר	to overpower
6	BOM/D&C	BOM 3nephi 1:29	לְהִתְחַבֵּר	to combine
6	BOM/D&C	BOM 3nephi 3:2	כּוֹתֵב	write
6	BOM/D&C	BOM 3nephi 5:9	הַמְכִילִים	which contain
6	BOM	BOM alma 30:27	יָעֵזּוּ	they durst not
6	BOM	BOM alma 42:16	גַּם־כֵּן	also
6	BOM/D&C	BOM helaman 6:18	נוֹסַד	was instituted
6	BOM/NT	BOM moroni 10:3	אַזְהִיר	I would exhort
6	OT/NT	OT 1sa 20:27	גַּם־הַיּוֹם	also the day
6	OT/NT/D&C	OT isa 30:6	אֶפְעֶה	a-viper
6	NT	NT 2ti 1:2	הֶחָבִיב	the-beloved
6	NT/D&C	NT acts 8:7	וּפִסְחִים	and the lame
6	NT	NT acts 13:40	הַנֶּאֱמָר	which was spoken
6	NT/D&C	NT luke 9:44	לְהִמָּסֵר	to be delivered
5	BOM/D&C	BOM 1nephi 15:35	לְהִשָּׁלֵךְ	to be cast out
5	BOM	BOM 2nephi 1:2	בְּהַצִּילוֹ	in delivering
5	BOM/NT	BOM 2nephi 3:17	בְּדִבּוּר	in-word
5	BOM/NT	BOM 2nephi 25:23	בִּשְׁקִידָה	with care
5	BOM	BOM 2nephi 28:9	לְהַסְתִּיר	to hide
5	BOM	BOM 3nephi 1:4	לְהִמָּלֵא	to be fulfilled
5	BOM/NT/D&C	BOM 3nephi 1:30	עֻנּוּ	were afflicted
5	BOM	BOM 3nephi 2:12	וַיֵּאָנְסוּ	and they were compelled
5	BOM/NT/PGP	BOM 3nephi 3:21	נָכִין	we may prepare
5	BOM/NT/D&C	BOM 3nephi 8:19	הָרְעָמִים	thunders
5	BOM/NT	BOM 3nephi 19:25	כִּפְנֵי	as the countenance of
5	BOM/NT/D&C	BOM 3nephi 26:21	הַנִּטְבָּלִים	those who were baptized
5	BOM/D&C	BOM 4nephi 1:37	הָאֲמִתִּיִּים	the true
5	BOM/D&C/PGP	BOM alma 5:62	שֻׁתָּפִים	partakers
5	BOM	BOM alma 24:26	מִמִּסְפַּר	than the number of
5	BOM/NT/PGP	BOM alma 26:13	הִתִּיר	loosed
5	BOM	BOM alma 37:41	בְּמַסָּעָם	in their journey
5	BOM	BOM alma 39:6	לְהִסָּלַח	to obtain
5	BOM/D&C	BOM alma 42:19	נִתֶּנֶת	given
5	BOM/D&C	BOM helaman 7:5	לִנְאֹף	to commit adultery
5	OT/NT/PGP	OT sos 1:6	שֶׁלִּי	which to me
5	NT/D&C	NT 1co 9:24	הַנִּצָּחוֹן	the-victory
5	NT	NT heb 3:15	שֶׁנֶּאֱמַר	while-it-is-said
5	NT/D&C	NT john 19:16	לְהִצָּלֵב	to be crucified.
5	NT	NT luke 14:3	הֲמֻתָּר	Is it lawful
5	NT/PGP	NT luke 21:26	יִתְמוֹטָטוּ	shall be shaken.
5	D&C/PGP	D&C dc11_20 1:26	בְּאֶמְצַע	in the meridian of
5	D&C	D&C dc11_20 1:64	הַנִּסְמָךְ	he that is ordained
